I II V1 V2 V3 V4 V5 V6
-3 -11 3 3 -2 -6 -8 -9
-3 -11 3 3 -2 -6 -8 -9
-3 -11 3 3 -2 -6 -8 -9
-3 -11 3 3 -2 -7 -8 -9
-3 -11 3 3 -2 -7 -8 -9
-3 -11 3 3 -2 -7 -8 -9
-3 -11 3 2 -3 -8 -9 -9
-3 -11 3 2 -3 -8 -9 -9
-3 -11 3 1 -3 -8 -9 -9
-3 -11 3 1 -3 -8 -9 -9
-3 -11 3 1 -3 -8 -9 -9
-3 -12 2 0 -3 -8 -9 -10
-3 -13 2 0 -3 -8 -9 -10
-4 -13 2 0 -3 -8 -9 -10
-4 -14 2 0 -3 -8 -9 -10
-4 -14 2 0 -3 -8 -9 -10
-4 -15 1 1 -2 -8 -9 -10
-3 -15 1 3 0 -7 -9 -10
-2 -15 1 5 1 -6 -9 -10
0 -15 1 7 2 -5 -9 -10
1 -15 1 9 3 -5 -9 -10
5 -11 4 16 14 6 -5 -7
9 -6 6 23 24 15 1 -3
13 -2 8 30 34 24 6 2
17 4 10 37 45 33 11 6
21 8 12 44 55 43 16 10
24 24 7 30 61 61 38 27
27 42 0 16 66 79 62 46
30 58 -7 2 71 98 85 63
33 74 -14 -14 76 116 108 80
36 91 -20 -28 81 135 131 98
38 108 -50 -71 65 141 149 119
40 126 -80 -114 46 146 168 141
43 142 -110 -158 27 151 185 163
45 159 -140 -201 8 156 203 185
46 177 -171 -244 -11 161 222 206
46 172 -184 -259 -32 140 206 202
45 165 -196 -272 -55 115 189 197
43 159 -210 -285 -77 92 172 191
42 153 -223 -299 -99 68 154 186
40 147 -235 -312 -121 44 137 181
26 126 -219 -296 -127 20 107 152
13 103 -200 -276 -131 -4 76 122
-2 81 -182 -258 -136 -27 47 94
-15 60 -163 -239 -140 -51 16 64
-29 37 -145 -220 -144 -74 -14 35
-28 27 -131 -197 -135 -74 -20 25
-25 17 -116 -174 -123 -73 -25 15
-22 7 -103 -150 -113 -71 -29 6
-19 -3 -89 -127 -102 -70 -34 -4
-16 -13 -74 -103 -91 -69 -38 -13
-14 -15 -65 -90 -79 -63 -38 -15
-13 -17 -55 -76 -69 -57 -36 -16
-11 -19 -46 -63 -58 -51 -35 -18
-10 -21 -36 -50 -48 -45 -33 -19
-9 -22 -27 -36 -36 -38 -32 -20
-8 -23 -23 -31 -32 -35 -30 -21
-8 -24 -20 -26 -29 -32 -29 -21
